Channel number	Impulses
Channel/#	Impulses/#

0	2
1	3
2	2
3	1
4	0
5	1
6	1
7	1
8	1
9	2
10	1
11	3
12	4
13	0
14	1
15	1
16	2
17	1
18	4
19	1
20	1
21	1
22	2
23	0
24	2
25	2
26	2
27	3
28	3
29	1
30	0
31	2
32	1
33	1
34	0
35	2
36	0
37	2
38	4
39	1
40	0
41	1
42	2
43	0
44	3
45	2
46	0
47	6
48	6
49	4
50	65
51	283
52	381
53	520
54	683
55	726
56	486
57	751
58	643
59	702
60	628
61	670
62	670
63	983
64	468
65	705
66	671
67	729
68	713
69	636
70	735
71	660
72	564
73	753
74	659
75	684
76	702
77	699
78	641
79	773
80	541
81	731
82	602
83	743
84	623
85	641
86	723
87	682
88	588
89	707
90	635
91	790
92	614
93	724
94	699
95	949
96	530
97	741
98	727
99	692
100	696
101	607
102	700
103	703
104	583
105	745
106	600
107	676
108	672
109	706
110	728
111	753
112	541
113	698
114	686
115	739
116	686
117	699
118	806
119	687
120	603
121	781
122	656
123	770
124	647
125	729
126	724
127	1097
128	406
129	668
130	676
131	701
132	732
133	679
134	777
135	734
136	678
137	801
138	656
139	745
140	722
141	760
142	706
143	786
144	549
145	706
146	694
147	759
148	672
149	693
150	734
151	726
152	632
153	786
154	639
155	757
156	653
157	738
158	689
159	932
160	528
161	689
162	718
163	753
164	733
165	675
166	771
167	753
168	631
169	775
170	672
171	787
172	768
173	772
174	753
175	786
176	642
177	739
178	682
179	761
180	701
181	699
182	791
183	784
184	558
185	869
186	693
187	788
188	662
189	738
190	789
191	1070
192	574
193	779
194	739
195	710
196	751
197	704
198	778
199	774
200	724
201	785
202	671
203	741
204	724
205	751
206	773
207	810
208	587
209	711
210	759
211	802
212	727
213	700
214	848
215	712
216	703
217	866
218	652
219	821
220	738
221	795
222	776
223	1036
224	568
225	792
226	818
227	791
228	856
229	783
230	768
231	771
232	646
233	855
234	744
235	789
236	854
237	792
238	851
239	861
240	658
241	836
242	827
243	843
244	763
245	751
246	900
247	760
248	725
249	928
250	812
251	942
252	859
253	893
254	935
255	1573
256	505
257	909
258	821
259	901
260	890
261	806
262	923
263	838
264	794
265	961
266	803
267	870
268	858
269	878
270	821
271	861
272	735
273	836
274	813
275	897
276	803
277	832
278	865
279	828
280	698
281	882
282	715
283	874
284	761
285	836
286	798
287	1001
288	609
289	777
290	771
291	798
292	752
293	683
294	801
295	840
296	679
297	856
298	696
299	733
300	771
301	781
302	787
303	740
304	650
305	827
306	731
307	872
308	744
309	720
310	827
311	797
312	617
313	861
314	662
315	901
316	775
317	823
318	697
319	1128
320	519
321	816
322	767
323	837
324	812
325	744
326	887
327	771
328	752
329	831
330	728
331	819
332	807
333	785
334	814
335	892
336	682
337	785
338	757
339	871
340	801
341	774
342	844
343	748
344	743
345	910
346	748
347	845
348	766
349	790
350	786
351	1006
352	680
353	761
354	758
355	765
356	852
357	769
358	926
359	792
360	732
361	906
362	740
363	780
364	826
365	776
366	778
367	862
368	665
369	810
370	814
371	868
372	787
373	792
374	926
375	870
376	743
377	896
378	746
379	895
380	847
381	859
382	794
383	1240
384	641
385	851
386	911
387	882
388	965
389	823
390	953
391	815
392	930
393	960
394	850
395	893
396	977
397	960
398	933
399	1034
400	932
401	1003
402	996
403	1138
404	928
405	1050
406	1181
407	1071
408	1118
409	1286
410	1080
411	1320
412	1182
413	1271
414	1305
415	1669
416	1079
417	1458
418	1466
419	1465
420	1637
421	1481
422	1811
423	1550
424	1457
425	1770
426	1596
427	1720
428	1995
429	1892
430	1956
431	1814
432	1764
433	2032
434	2002
435	2179
436	2063
437	1927
438	2160
439	2047
440	1730
441	2267
442	1925
443	2253
444	2008
445	1991
446	2011
447	2660
448	1396
449	1818
450	1947
451	1820
452	2026
453	1627
454	1907
455	1553
456	1588
457	1726
458	1426
459	1553
460	1639
461	1489
462	1405
463	1403
464	1171
465	1396
466	1314
467	1337
468	1290
469	1162
470	1399
471	1026
472	1162
473	1194
474	1046
475	1159
476	1165
477	1090
478	1075
479	1283
480	893
481	1129
482	1078
483	1115
484	1209
485	1027
486	1272
487	1145
488	1025
489	1165
490	1093
491	1127
492	1264
493	1163
494	1173
495	1253
496	1088
497	1187
498	1266
499	1307
500	1224
501	1087
502	1393
503	1238
504	1084
505	1305
506	1078
507	1238
508	1196
509	1123
510	1158
511	1833
512	601
513	1181
514	1157
515	1138
516	1197
517	1015
518	1127
519	1049
520	969
521	1146
522	918
523	1068
524	1052
525	987
526	970
527	996
528	797
529	944
530	884
531	1062
532	802
533	840
534	885
535	832
536	746
537	950
538	729
539	914
540	797
541	824
542	785
543	1010
544	595
545	748
546	757
547	804
548	726
549	740
550	811
551	781
552	622
553	811
554	637
555	729
556	727
557	753
558	744
559	729
560	591
561	750
562	729
563	770
564	706
565	640
566	790
567	779
568	590
569	723
570	663
571	804
572	680
573	773
574	765
575	929
576	523
577	758
578	688
579	708
580	767
581	695
582	826
583	702
584	736
585	824
586	654
587	690
588	759
589	745
590	696
591	783
592	566
593	712
594	728
595	755
596	687
597	642
598	804
599	721
600	676
601	810
602	661
603	796
604	714
605	738
606	679
607	865
608	624
609	734
610	737
611	753
612	783
613	652
614	776
615	693
616	663
617	779
618	688
619	729
620	741
621	731
622	691
623	785
624	556
625	696
626	743
627	764
628	740
629	699
630	780
631	743
632	611
633	757
634	691
635	796
636	748
637	753
638	719
639	1112
640	443
641	726
642	763
643	716
644	806
645	700
646	798
647	678
648	699
649	817
650	668
651	718
652	736
653	701
654	720
655	710
656	628
657	777
658	711
659	814
660	739
661	663
662	841
663	678
664	719
665	806
666	651
667	839
668	684
669	771
670	744
671	929
672	544
673	746
674	702
675	741
676	809
677	690
678	847
679	692
680	657
681	857
682	684
683	708
684	809
685	788
686	752
687	716
688	668
689	745
690	751
691	802
692	787
693	648
694	856
695	723
696	647
697	837
698	642
699	870
700	678
701	747
702	845
703	994
704	624
705	764
706	728
707	734
708	816
709	687
710	795
711	681
712	750
713	851
714	622
715	751
716	817
717	757
718	772
719	792
720	645
721	764
722	761
723	804
724	761
725	669
726	813
727	672
728	663
729	837
730	617
731	818
732	711
733	729
734	749
735	967
736	594
737	727
738	782
739	723
740	865
741	729
742	847
743	725
744	668
745	859
746	700
747	751
748	888
749	785
750	774
751	738
752	617
753	769
754	790
755	818
756	733
757	652
758	843
759	705
760	663
761	870
762	674
763	805
764	769
765	794
766	803
767	1196
768	573
769	790
770	772
771	795
772	830
773	678
774	884
775	710
776	720
777	814
778	631
779	802
780	848
781	810
782	703
783	766
784	675
785	765
786	767
787	846
788	776
789	746
790	891
791	704
792	735
793	902
794	707
795	845
796	732
797	759
798	743
799	908
800	631
801	770
802	744
803	764
804	876
805	742
806	835
807	771
808	636
809	832
810	640
811	793
812	815
813	809
814	801
815	711
816	715
817	778
818	791
819	867
820	782
821	694
822	887
823	751
824	671
825	866
826	651
827	905
828	770
829	787
830	796
831	1011
832	597
833	735
834	834
835	754
836	884
837	724
838	833
839	697
840	732
841	873
842	687
843	767
844	833
845	785
846	748
847	764
848	628
849	787
850	775
851	823
852	794
853	642
854	896
855	692
856	787
857	852
858	715
859	828
860	812
861	777
862	776
863	841
864	723
865	793
866	769
867	776
868	861
869	676
870	918
871	797
872	705
873	870
874	708
875	757
876	862
877	779
878	829
879	802
880	657
881	770
882	838
883	851
884	782
885	642
886	901
887	729
888	651
889	870
890	714
891	840
892	755
893	777
894	799
895	1175
896	562
897	850
898	848
899	815
900	873
901	693
902	877
903	666
904	755
905	908
906	753
907	730
908	886
909	802
910	756
911	740
912	788
913	857
914	760
915	840
916	749
917	675
918	926
919	712
920	768
921	908
922	686
923	876
924	811
925	830
926	817
927	982
928	694
929	724
930	783
931	800
932	961
933	695
934	908
935	754
936	687
937	927
938	731
939	747
940	884
941	761
942	749
943	736
944	776
945	803
946	788
947	837
948	821
949	727
950	921
951	787
952	728
953	874
954	682
955	916
956	807
957	854
958	832
959	1044
960	654
961	791
962	853
963	847
964	900
965	723
966	923
967	658
968	821
969	854
970	727
971	744
972	895
973	851
974	823
975	834
976	735
977	879
978	833
979	865
980	880
981	724
982	931
983	688
984	847
985	949
986	744
987	856
988	825
989	820
990	808
991	1008
992	691
993	804
994	835
995	838
996	973
997	709
998	945
999	793
1000	737
1001	932
1002	742
1003	800
1004	914
1005	847
1006	848
1007	864
1008	766
1009	838
1010	903
1011	936
1012	929
1013	698
1014	1044
1015	745
1016	751
1017	945
1018	775
1019	937
1020	910
1021	832
1022	858
1023	1313
1024	403
1025	894
1026	846
1027	921
1028	901
1029	772
1030	962
1031	864
1032	825
1033	1031
1034	756
1035	890
1036	930
1037	886
1038	876
1039	937
1040	715
1041	913
1042	873
1043	1020
1044	847
1045	838
1046	981
1047	778
1048	822
1049	1044
1050	791
1051	1071
1052	824
1053	938
1054	900
1055	1156
1056	714
1057	921
1058	958
1059	926
1060	1023
1061	852
1062	1038
1063	1004
1064	762
1065	1014
1066	777
1067	1001
1068	1035
1069	942
1070	920
1071	959
1072	746
1073	1021
1074	960
1075	1054
1076	847
1077	819
1078	1083
1079	962
1080	695
1081	1062
1082	826
1083	1055
1084	910
1085	973
1086	997
1087	1314
1088	689
1089	976
1090	1012
1091	970
1092	1042
1093	817
1094	1059
1095	912
1096	843
1097	1111
1098	874
1099	964
1100	1032
1101	963
1102	953
1103	1047
1104	690
1105	966
1106	990
1107	1148
1108	911
1109	858
1110	1130
1111	898
1112	868
1113	1143
1114	841
1115	1095
1116	938
1117	1007
1118	920
1119	1196
1120	771
1121	953
1122	965
1123	1003
1124	1058
1125	870
1126	1107
1127	951
1128	807
1129	1154
1130	837
1131	936
1132	1082
1133	973
1134	1066
1135	991
1136	736
1137	979
1138	992
1139	1110
1140	1006
1141	876
1142	1123
1143	1022
1144	758
1145	1101
1146	885
1147	1079
1148	943
1149	1064
1150	947
1151	1388
1152	670
1153	1027
1154	979
1155	1023
1156	1076
1157	884
1158	1150
1159	890
1160	880
1161	1149
1162	883
1163	990
1164	1103
1165	1073
1166	1032
1167	964
1168	887
1169	999
1170	983
1171	1091
1172	955
1173	835
1174	1162
1175	896
1176	919
1177	1107
1178	866
1179	1074
1180	955
1181	920
1182	1003
1183	1257
1184	689
1185	985
1186	1003
1187	986
1188	1098
1189	888
1190	1098
1191	1011
1192	761
1193	1148
1194	799
1195	982
1196	1076
1197	998
1198	973
1199	869
1200	929
1201	974
1202	948
1203	1098
1204	979
1205	863
1206	1118
1207	997
1208	763
1209	1076
1210	859
1211	1111
1212	948
1213	988
1214	1020
1215	1218
1216	770
1217	963
1218	991
1219	1009
1220	1089
1221	854
1222	1108
1223	834
1224	918
1225	1084
1226	828
1227	962
1228	1080
1229	1066
1230	880
1231	1018
1232	777
1233	975
1234	1007
1235	1043
1236	954
1237	780
1238	1120
1239	856
1240	952
1241	1115
1242	868
1243	1069
1244	915
1245	969
1246	1040
1247	1213
1248	717
1249	955
1250	994
1251	942
1252	1102
1253	773
1254	1064
1255	897
1256	808
1257	1062
1258	836
1259	919
1260	1045
1261	929
1262	898
1263	970
1264	753
1265	967
1266	915
1267	1010
1268	939
1269	776
1270	1073
1271	917
1272	733
1273	1061
1274	838
1275	1068
1276	874
1277	950
1278	920
1279	1542
1280	529
1281	906
1282	914
1283	960
1284	997
1285	825
1286	1028
1287	846
1288	859
1289	1037
1290	773
1291	908
1292	1050
1293	895
1294	898
1295	861
1296	844
1297	906
1298	930
1299	1061
1300	909
1301	806
1302	1102
1303	847
1304	853
1305	1094
1306	733
1307	1076
1308	852
1309	915
1310	869
1311	1057
1312	802
1313	887
1314	895
1315	871
1316	988
1317	744
1318	1073
1319	899
1320	708
1321	1029
1322	775
1323	866
1324	1004
1325	907
1326	890
1327	821
1328	859
1329	888
1330	826
1331	1007
1332	897
1333	727
1334	1038
1335	871
1336	727
1337	1052
1338	766
1339	995
1340	874
1341	830
1342	853
1343	1159
1344	602
1345	869
1346	863
1347	855
1348	961
1349	752
1350	979
1351	739
1352	882
1353	1010
1354	798
1355	853
1356	976
1357	868
1358	834
1359	927
1360	711
1361	867
1362	888
1363	949
1364	859
1365	722
1366	1003
1367	725
1368	833
1369	1034
1370	767
1371	1049
1372	852
1373	830
1374	930
1375	967
1376	772
1377	815
1378	847
1379	858
1380	957
1381	757
1382	910
1383	822
1384	682
1385	988
1386	720
1387	821
1388	968
1389	868
1390	805
1391	830
1392	647
1393	848
1394	871
1395	975
1396	889
1397	701
1398	959
1399	777
1400	700
1401	962
1402	737
1403	976
1404	828
1405	840
1406	821
1407	994
1408	678
1409	831
1410	805
1411	760
1412	970
1413	689
1414	937
1415	666
1416	832
1417	970
1418	700
1419	853
1420	946
1421	822
1422	833
1423	703
1424	754
1425	840
1426	856
1427	902
1428	845
1429	680
1430	902
1431	649
1432	800
1433	927
1434	692
1435	961
1436	793
1437	821
1438	825
1439	959
1440	649
1441	793
1442	771
1443	774
1444	956
1445	640
1446	903
1447	776
1448	658
1449	883
1450	761
1451	771
1452	942
1453	788
1454	784
1455	695
1456	759
1457	767
1458	824
1459	847
1460	780
1461	680
1462	957
1463	721
1464	662
1465	912
1466	690
1467	853
1468	765
1469	748
1470	791
1471	921
1472	605
1473	776
1474	775
1475	757
1476	912
1477	654
1478	835
1479	620
1480	816
1481	885
1482	678
1483	751
1484	953
1485	814
1486	794
1487	731
1488	666
1489	784
1490	782
1491	862
1492	845
1493	673
1494	899
1495	607
1496	789
1497	908
1498	703
1499	836
1500	762
1501	791
1502	790
1503	898
1504	605
1505	788
1506	770
1507	761
1508	951
1509	581
1510	931
1511	711
1512	678
1513	822
1514	677
1515	718
1516	863
1517	761
1518	766
1519	697
1520	655
1521	736
1522	728
1523	855
1524	780
1525	621
1526	936
1527	653
1528	666
1529	896
1530	635
1531	831
1532	756
1533	767
1534	752
1535	934
1536	548
1537	757
1538	735
1539	812
1540	844
1541	669
1542	941
1543	647
1544	710
1545	858
1546	640
1547	726
1548	885
1549	754
1550	759
1551	680
1552	708
1553	765
1554	739
1555	784
1556	708
1557	663
1558	861
1559	660
1560	724
1561	879
1562	657
1563	902
1564	728
1565	758
1566	723
1567	847
1568	628
1569	771
1570	741
1571	734
1572	813
1573	674
1574	888
1575	723
1576	584
1577	840
1578	604
1579	778
1580	836
1581	726
1582	715
1583	647
1584	653
1585	718
1586	698
1587	852
1588	722
1589	629
1590	842
1591	733
1592	590
1593	891
1594	624
1595	848
1596	717
1597	748
1598	737
1599	894
1600	658
1601	743
1602	684
1603	744
1604	828
1605	649
1606	797
1607	587
1608	722
1609	886
1610	641
1611	719
1612	821
1613	760
1614	720
1615	721
1616	574
1617	692
1618	745
1619	855
1620	687
1621	607
1622	864
1623	578
1624	694
1625	820
1626	613
1627	825
1628	704
1629	751
1630	715
1631	791
1632	690
1633	707
1634	747
1635	724
1636	833
1637	626
1638	886
1639	692
1640	587
1641	844
1642	609
1643	696
1644	821
1645	759
1646	760
1647	700
1648	593
1649	734
1650	756
1651	817
1652	711
1653	601
1654	795
1655	657
1656	613
1657	849
1658	626
1659	808
1660	728
1661	707
1662	744
1663	1013
1664	517
1665	712
1666	665
1667	745
1668	812
1669	605
1670	905
1671	568
1672	703
1673	838
1674	605
1675	669
1676	809
1677	695
1678	729
1679	587
1680	750
1681	703
1682	694
1683	775
1684	722
1685	575
1686	832
1687	602
1688	671
1689	831
1690	625
1691	856
1692	711
1693	725
1694	710
1695	827
1696	593
1697	704
1698	710
1699	680
1700	785
1701	649
1702	839
1703	721
1704	577
1705	836
1706	581
1707	681
1708	815
1709	703
1710	733
1711	581
1712	687
1713	771
1714	728
1715	830
1716	690
1717	592
1718	882
1719	664
1720	570
1721	815
1722	650
1723	824
1724	721
1725	713
1726	701
1727	739
1728	690
1729	700
1730	689
1731	740
1732	843
1733	552
1734	901
1735	537
1736	707
1737	845
1738	595
1739	655
1740	823
1741	700
1742	736
1743	704
1744	574
1745	680
1746	695
1747	829
1748	812
1749	561
1750	890
1751	548
1752	716
1753	853
1754	617
1755	784
1756	713
1757	702
1758	722
1759	811
1760	591
1761	693
1762	770
1763	661
1764	862
1765	570
1766	822
1767	666
1768	625
1769	826
1770	611
1771	652
1772	905
1773	702
1774	690
1775	616
1776	564
1777	683
1778	737
1779	818
1780	732
1781	568
1782	851
1783	610
1784	597
1785	850
1786	655
1787	739
1788	731
1789	686
1790	736
1791	975
1792	573
1793	675
1794	785
1795	682
1796	886
1797	618
1798	863
1799	575
1800	709
1801	816
1802	603
1803	678
1804	796
1805	724
1806	733
1807	586
1808	731
1809	727
1810	680
1811	784
1812	736
1813	531
1814	824
1815	603
1816	683
1817	753
1818	559
1819	797
1820	712
1821	695
1822	671
1823	668
1824	691
1825	672
1826	716
1827	685
1828	811
1829	561
1830	817
1831	633
1832	587
1833	812
1834	603
1835	658
1836	820
1837	624
1838	720
1839	563
1840	752
1841	679
1842	718
1843	813
1844	680
1845	597
1846	853
1847	672
1848	596
1849	780
1850	575
1851	793
1852	744
1853	694
1854	707
1855	766
1856	598
1857	737
1858	713
1859	619
1860	863
1861	560
1862	848
1863	546
1864	714
1865	809
1866	588
1867	681
1868	811
1869	694
1870	706
1871	674
1872	641
1873	702
1874	719
1875	759
1876	706
1877	570
1878	849
1879	514
1880	737
1881	770
1882	558
1883	768
1884	721
1885	711
1886	737
1887	648
1888	792
1889	710
1890	781
1891	618
1892	903
1893	596
1894	830
1895	623
1896	647
1897	837
1898	611
1899	650
1900	845
1901	663
1902	698
1903	603
1904	650
1905	716
1906	725
1907	773
1908	737
1909	579
1910	834
1911	620
1912	657
1913	743
1914	597
1915	738
1916	763
1917	705
1918	731
1919	792
1920	654
1921	697
1922	740
1923	658
1924	884
1925	515
1926	833
1927	503
1928	707
1929	812
1930	642
1931	651
1932	848
1933	643
1934	742
1935	527
1936	725
1937	693
1938	758
1939	805
1940	737
1941	572
1942	843
1943	476
1944	786
1945	822
1946	600
1947	813
1948	734
1949	640
1950	759
1951	746
1952	681
1953	732
1954	718
1955	620
1956	854
1957	525
1958	887
1959	608
1960	649
1961	825
1962	599
1963	689
1964	886
1965	749
1966	741
1967	531
1968	813
1969	675
1970	732
1971	778
1972	741
1973	541
1974	844
1975	634
1976	605
1977	816
1978	637
1979	794
1980	710
1981	699
1982	747
