Channel number	Impulses
Channel/#	Impulses/#

0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	0
9	1
10	0
11	0
12	0
13	0
14	0
15	0
16	0
17	0
18	0
19	0
20	0
21	0
22	0
23	0
24	0
25	0
26	0
27	0
28	0
29	0
30	0
31	0
32	0
33	0
34	0
35	0
36	0
37	0
38	0
39	0
40	0
41	0
42	0
43	0
44	0
45	0
46	0
47	0
48	1
49	0
50	20
51	84
52	83
53	73
54	87
55	94
56	72
57	90
58	84
59	96
60	92
61	85
62	88
63	125
64	47
65	97
66	83
67	90
68	93
69	79
70	81
71	88
72	79
73	94
74	71
75	72
76	74
77	75
78	92
79	109
80	57
81	83
82	87
83	88
84	85
85	86
86	94
87	99
88	82
89	96
90	84
91	89
92	85
93	70
94	88
95	114
96	69
97	78
98	80
99	79
100	92
101	86
102	100
103	95
104	65
105	109
106	72
107	105
108	79
109	102
110	89
111	92
112	69
113	101
114	85
115	114
116	99
117	78
118	96
119	90
120	61
121	105
122	60
123	95
124	99
125	97
126	85
127	156
128	52
129	82
130	94
131	113
132	85
133	83
134	104
135	90
136	72
137	110
138	84
139	92
140	114
141	124
142	88
143	91
144	65
145	105
146	93
147	114
148	89
149	86
150	122
151	98
152	90
153	128
154	79
155	141
156	108
157	105
158	102
159	148
160	82
161	104
162	106
163	121
164	108
165	105
166	113
167	130
168	96
169	148
170	121
171	151
172	162
173	168
174	172
175	178
176	147
177	194
178	192
179	192
180	216
181	231
182	272
183	258
184	220
185	307
186	244
187	320
188	297
189	350
190	323
191	455
192	236
193	349
194	292
195	277
196	292
197	249
198	271
199	270
200	247
201	247
202	233
203	207
204	215
205	221
206	177
207	211
208	148
209	147
210	164
211	150
212	133
213	136
214	159
215	143
216	127
217	169
218	126
219	153
220	137
221	111
222	128
223	154
224	85
225	103
226	126
227	112
228	118
229	130
230	117
231	108
232	92
233	130
234	96
235	99
236	105
237	88
238	118
239	112
240	88
241	136
242	115
243	102
244	101
245	87
246	115
247	97
248	84
249	102
250	118
251	93
252	126
253	116
254	119
255	198
256	62
257	92
258	105
259	116
260	111
261	115
262	108
263	112
264	104
265	113
266	100
267	122
268	109
269	113
270	106
271	122
272	102
273	112
274	94
275	133
276	107
277	94
278	111
279	115
280	75
281	117
282	104
283	125
284	98
285	102
286	93
287	122
288	81
289	104
290	103
291	92
292	108
293	84
294	101
295	81
296	74
297	112
298	77
299	105
300	85
301	81
302	96
303	105
304	87
305	91
306	93
307	112
308	103
309	109
310	118
311	103
312	66
313	121
314	76
315	114
316	110
317	108
318	92
319	126
320	66
321	94
322	114
323	88
324	121
325	88
326	127
327	114
328	87
329	104
330	107
331	106
332	93
333	97
334	101
335	102
336	92
337	92
338	99
339	113
340	83
341	90
342	110
343	103
344	94
345	107
346	81
347	113
348	103
349	100
350	102
351	121
352	89
353	103
354	86
355	99
356	94
357	95
358	104
359	89
360	98
361	100
362	86
363	109
364	101
365	99
366	87
367	115
368	86
369	111
370	125
371	103
372	98
373	82
374	99
375	119
376	73
377	119
378	88
379	102
380	98
381	96
382	100
383	159
384	75
385	117
386	105
387	106
388	102
389	98
390	109
391	103
392	87
393	115
394	101
395	88
396	112
397	110
398	124
399	131
400	118
401	116
402	115
403	134
404	110
405	105
406	140
407	118
408	120
409	138
410	96
411	130
412	134
413	152
414	122
415	187
416	128
417	153
418	159
419	153
420	188
421	159
422	192
423	185
424	151
425	204
426	182
427	185
428	212
429	211
430	214
431	193
432	190
433	225
434	212
435	239
436	264
437	240
438	284
439	234
440	193
441	292
442	250
443	278
444	262
445	300
446	269
447	357
448	208
449	254
450	257
451	244
452	244
453	225
454	273
455	200
456	231
457	263
458	204
459	213
460	242
461	204
462	197
463	213
464	157
465	203
466	194
467	185
468	173
469	142
470	186
471	158
472	137
473	178
474	127
475	158
476	166
477	137
478	143
479	186
480	102
481	127
482	164
483	133
484	131
485	118
486	150
487	148
488	141
489	152
490	147
491	135
492	151
493	151
494	144
495	161
496	113
497	146
498	170
499	137
500	140
501	129
502	170
503	146
504	137
505	168
506	149
507	158
508	159
509	142
510	164
511	226
512	72
513	161
514	127
515	167
516	146
517	131
518	151
519	126
520	130
521	163
522	124
523	145
524	125
525	140
526	126
527	139
528	95
529	119
530	127
531	123
532	116
533	107
534	120
535	125
536	104
537	111
538	87
539	153
540	87
541	98
542	95
543	150
544	78
545	89
546	95
547	103
548	89
549	95
550	103
551	100
552	75
553	89
554	83
555	87
556	127
557	94
558	98
559	110
560	87
561	86
562	103
563	112
564	100
565	100
566	101
567	93
568	77
569	95
570	71
571	101
572	79
573	105
574	83
575	113
576	75
577	82
578	96
579	85
580	91
581	89
582	93
583	84
584	88
585	96
586	83
587	59
588	88
589	90
590	99
591	101
592	72
593	86
594	76
595	107
596	94
597	72
598	111
599	78
600	91
601	96
602	83
603	105
604	71
605	93
606	75
607	95
608	58
609	81
610	70
611	76
612	89
613	82
614	103
615	87
616	83
617	86
618	80
619	85
620	91
621	105
622	91
623	123
624	64
625	85
626	88
627	96
628	91
629	91
630	110
631	84
632	107
633	77
634	90
635	103
636	71
637	97
638	86
639	139
640	56
641	85
642	101
643	76
644	103
645	88
646	106
647	71
648	75
649	99
650	82
651	92
652	84
653	93
654	78
655	91
656	73
657	79
658	89
659	99
660	77
661	84
662	97
663	83
664	70
665	98
666	63
667	124
668	96
669	90
670	94
671	124
672	60
673	87
674	92
675	83
676	94
677	89
678	87
679	91
680	65
681	88
682	89
683	89
684	96
685	73
686	103
687	70
688	73
689	93
690	97
691	101
692	86
693	73
694	99
695	94
696	67
697	88
698	65
699	93
700	96
701	98
702	103
703	121
704	73
705	91
706	80
707	98
708	102
709	77
710	111
711	86
712	79
713	101
714	78
715	79
716	86
717	86
718	98
719	91
720	75
721	76
722	87
723	84
724	84
725	73
726	97
727	80
728	84
729	95
730	80
731	93
732	73
733	91
734	99
735	101
736	75
737	86
738	83
739	79
740	110
741	70
742	119
743	81
744	73
745	84
746	93
747	93
748	100
749	93
750	83
751	84
752	78
753	80
754	86
755	100
756	85
757	62
758	95
759	84
760	73
761	89
762	76
763	83
764	79
765	78
766	90
767	139
768	53
769	72
770	87
771	86
772	92
773	84
774	94
775	88
776	86
777	107
778	67
779	78
780	87
781	90
782	84
783	91
784	76
785	93
786	85
787	108
788	91
789	84
790	94
791	86
792	75
793	95
794	85
795	93
796	89
797	90
798	89
799	100
800	74
801	87
802	105
803	99
804	114
805	70
806	99
807	98
808	87
809	93
810	77
811	93
812	115
813	100
814	99
815	82
816	85
817	90
818	85
819	96
820	77
821	79
822	98
823	88
824	71
825	98
826	78
827	97
828	94
829	91
830	86
831	116
832	59
833	77
834	86
835	93
836	96
837	82
838	96
839	70
840	85
841	85
842	73
843	88
844	103
845	99
846	88
847	82
848	74
849	81
850	96
851	97
852	99
853	83
854	105
855	74
856	103
857	112
858	77
859	112
860	87
861	96
862	106
863	115
864	80
865	90
866	86
867	90
868	109
869	80
870	101
871	77
872	89
873	103
874	78
875	98
876	99
877	101
878	79
879	87
880	67
881	93
882	102
883	87
884	102
885	81
886	117
887	96
888	86
889	113
890	70
891	97
892	93
893	100
894	99
895	151
896	61
897	103
898	69
899	78
900	89
901	99
902	115
903	92
904	88
905	94
906	92
907	76
908	108
909	80
910	101
911	81
912	83
913	88
914	97
915	105
916	104
917	82
918	131
919	76
920	97
921	91
922	83
923	97
924	78
925	96
926	93
927	99
928	85
929	92
930	87
931	71
932	109
933	81
934	95
935	115
936	98
937	109
938	72
939	91
940	103
941	94
942	90
943	81
944	86
945	95
946	86
947	102
948	95
949	85
950	126
951	84
952	82
953	113
954	77
955	101
956	80
957	92
958	109
959	107
960	83
961	85
962	77
963	92
964	120
965	71
966	107
967	71
968	93
969	124
970	95
971	90
972	113
973	110
974	125
975	110
976	81
977	91
978	120
979	103
980	82
981	86
982	123
983	90
984	96
985	102
986	80
987	116
988	103
989	109
990	122
991	128
992	89
993	97
994	110
995	111
996	144
997	73
998	122
999	93
1000	99
1001	111
1002	93
1003	115
1004	133
1005	92
1006	98
1007	86
1008	93
1009	101
1010	107
1011	114
1012	93
1013	81
1014	117
1015	103
1016	78
1017	114
1018	93
1019	111
1020	91
1021	105
1022	121
1023	178
1024	40
1025	116
1026	97
1027	120
1028	99
1029	95
1030	99
1031	90
1032	75
1033	122
1034	90
1035	113
1036	119
1037	104
1038	90
1039	109
1040	74
1041	105
1042	100
1043	125
1044	107
1045	109
1046	116
1047	94
1048	99
1049	153
1050	107
1051	124
1052	103
1053	120
1054	114
1055	147
1056	93
1057	103
1058	105
1059	101
1060	138
1061	106
1062	125
1063	113
1064	78
1065	124
1066	91
1067	126
1068	112
1069	121
1070	119
1071	119
1072	76
1073	112
1074	119
1075	138
1076	104
1077	105
1078	123
1079	119
1080	86
1081	118
1082	92
1083	133
1084	97
1085	121
1086	104
1087	166
1088	86
1089	131
1090	113
1091	112
1092	98
1093	113
1094	118
1095	102
1096	102
1097	153
1098	98
1099	102
1100	101
1101	135
1102	106
1103	124
1104	82
1105	108
1106	116
1107	119
1108	126
1109	88
1110	137
1111	87
1112	112
1113	138
1114	86
1115	137
1116	93
1117	110
1118	111
1119	151
1120	81
1121	118
1122	114
1123	120
1124	118
1125	103
1126	125
1127	107
1128	88
1129	119
1130	103
1131	128
1132	97
1133	97
1134	111
1135	134
1136	90
1137	109
1138	113
1139	119
1140	102
1141	88
1142	124
1143	123
1144	77
1145	104
1146	82
1147	133
1148	99
1149	136
1150	100
1151	178
1152	71
1153	113
1154	117
1155	117
1156	113
1157	105
1158	138
1159	114
1160	102
1161	123
1162	96
1163	117
1164	130
1165	104
1166	103
1167	116
1168	96
1169	118
1170	99
1171	122
1172	109
1173	108
1174	123
1175	95
1176	99
1177	128
1178	103
1179	108
1180	106
1181	105
1182	113
1183	150
1184	74
1185	109
1186	111
1187	98
1188	117
1189	106
1190	129
1191	114
1192	84
1193	154
1194	98
1195	119
1196	117
1197	107
1198	115
1199	101
1200	88
1201	108
1202	103
1203	145
1204	86
1205	99
1206	108
1207	113
1208	93
1209	131
1210	98
1211	123
1212	108
1213	119
1214	106
1215	144
1216	70
1217	109
1218	109
1219	117
1220	110
1221	111
1222	126
1223	78
1224	90
1225	110
1226	94
1227	110
1228	122
1229	107
1230	102
1231	109
1232	107
1233	110
1234	110
1235	121
1236	102
1237	116
1238	141
1239	80
1240	112
1241	117
1242	97
1243	100
1244	105
1245	136
1246	107
1247	126
1248	60
1249	109
1250	103
1251	106
1252	143
1253	93
1254	112
1255	104
1256	93
1257	143
1258	90
1259	106
1260	111
1261	100
1262	105
1263	120
1264	75
1265	93
1266	118
1267	106
1268	109
1269	72
1270	131
1271	100
1272	97
1273	137
1274	86
1275	111
1276	112
1277	130
1278	96
1279	217
1280	63
1281	117
1282	106
1283	114
1284	103
1285	89
1286	116
1287	92
1288	109
1289	144
1290	105
1291	109
1292	118
1293	103
1294	110
1295	113
1296	98
1297	106
1298	96
1299	129
1300	88
1301	97
1302	112
1303	106
1304	108
1305	128
1306	88
1307	126
1308	100
1309	98
1310	95
1311	144
1312	75
1313	104
1314	118
1315	116
1316	97
1317	92
1318	127
1319	113
1320	96
1321	125
1322	88
1323	86
1324	107
1325	123
1326	121
1327	102
1328	103
1329	107
1330	104
1331	128
1332	111
1333	84
1334	130
1335	99
1336	85
1337	112
1338	86
1339	120
1340	101
1341	98
1342	121
1343	138
1344	61
1345	104
1346	107
1347	108
1348	122
1349	84
1350	110
1351	96
1352	103
1353	121
1354	84
1355	98
1356	104
1357	121
1358	99
1359	96
1360	81
1361	109
1362	102
1363	138
1364	114
1365	83
1366	127
1367	96
1368	112
1369	110
1370	91
1371	106
1372	96
1373	119
1374	102
1375	123
1376	94
1377	114
1378	102
1379	102
1380	137
1381	87
1382	120
1383	111
1384	91
1385	113
1386	107
1387	97
1388	121
1389	94
1390	112
1391	112
1392	83
1393	86
1394	97
1395	112
1396	96
1397	103
1398	123
1399	109
1400	78
1401	124
1402	86
1403	110
1404	97
1405	123
1406	121
1407	121
1408	93
1409	100
1410	99
1411	111
1412	131
1413	91
1414	116
1415	102
1416	94
1417	123
1418	88
1419	92
1420	126
1421	90
1422	111
1423	76
1424	81
1425	82
1426	96
1427	96
1428	93
1429	76
1430	121
1431	85
1432	78
1433	125
1434	95
1435	121
1436	98
1437	98
1438	84
1439	143
1440	90
1441	115
1442	110
1443	102
1444	120
1445	96
1446	110
1447	90
1448	82
1449	122
1450	98
1451	101
1452	112
1453	100
1454	94
1455	81
1456	91
1457	109
1458	110
1459	113
1460	96
1461	81
1462	120
1463	101
1464	79
1465	102
1466	87
1467	119
1468	110
1469	95
1470	107
1471	128
1472	72
1473	105
1474	113
1475	85
1476	138
1477	92
1478	129
1479	77
1480	100
1481	106
1482	108
1483	86
1484	116
1485	108
1486	97
1487	106
1488	116
1489	90
1490	112
1491	106
1492	110
1493	86
1494	110
1495	76
1496	97
1497	129
1498	95
1499	114
1500	84
1501	119
1502	94
1503	135
1504	94
1505	84
1506	95
1507	87
1508	106
1509	68
1510	119
1511	110
1512	105
1513	111
1514	72
1515	91
1516	101
1517	90
1518	104
1519	99
1520	90
1521	83
1522	106
1523	102
1524	114
1525	84
1526	124
1527	82
1528	93
1529	108
1530	93
1531	111
1532	101
1533	99
1534	107
1535	117
1536	82
1537	87
1538	77
1539	106
1540	129
1541	109
1542	117
1543	65
1544	91
1545	108
1546	72
1547	123
1548	118
1549	109
1550	98
1551	101
1552	93
1553	102
1554	87
1555	103
1556	104
1557	71
1558	115
1559	86
1560	103
1561	101
1562	88
1563	98
1564	85
1565	87
1566	84
1567	119
1568	94
1569	106
1570	106
1571	108
1572	126
1573	85
1574	117
1575	105
1576	79
1577	114
1578	79
1579	105
1580	117
1581	106
1582	86
1583	97
1584	76
1585	99
1586	92
1587	109
1588	105
1589	95
1590	117
1591	94
1592	81
1593	113
1594	66
1595	119
1596	93
1597	104
1598	94
1599	121
1600	81
1601	89
1602	118
1603	90
1604	106
1605	86
1606	102
1607	89
1608	99
1609	108
1610	80
1611	103
1612	119
1613	88
1614	106
1615	94
1616	58
1617	108
1618	108
1619	128
1620	86
1621	83
1622	97
1623	95
1624	90
1625	134
1626	72
1627	109
1628	94
1629	106
1630	88
1631	90
1632	93
1633	118
1634	98
1635	83
1636	90
1637	86
1638	102
1639	95
1640	88
1641	100
1642	85
1643	78
1644	106
1645	94
1646	95
1647	114
1648	82
1649	90
1650	90
1651	126
1652	101
1653	77
1654	143
1655	98
1656	81
1657	110
1658	86
1659	93
1660	106
1661	105
1662	92
1663	148
1664	77
1665	97
1666	96
1667	105
1668	114
1669	84
1670	113
1671	83
1672	86
1673	113
1674	65
1675	110
1676	122
1677	101
1678	112
1679	78
1680	91
1681	117
1682	88
1683	105
1684	103
1685	72
1686	105
1687	73
1688	106
1689	116
1690	87
1691	97
1692	99
1693	116
1694	82
1695	105
1696	86
1697	81
1698	81
1699	85
1700	130
1701	88
1702	113
1703	103
1704	67
1705	134
1706	96
1707	104
1708	100
1709	85
1710	95
1711	81
1712	88
1713	107
1714	87
1715	122
1716	92
1717	67
1718	120
1719	84
1720	76
1721	134
1722	79
1723	92
1724	94
1725	95
1726	117
1727	87
1728	108
1729	107
1730	104
1731	86
1732	105
1733	73
1734	132
1735	83
1736	108
1737	98
1738	75
1739	93
1740	116
1741	89
1742	98
1743	75
1744	92
1745	109
1746	120
1747	112
1748	105
1749	87
1750	124
1751	85
1752	83
1753	124
1754	77
1755	97
1756	84
1757	86
1758	93
1759	98
1760	82
1761	97
1762	85
1763	81
1764	111
1765	74
1766	105
1767	81
1768	79
1769	94
1770	80
1771	97
1772	114
1773	84
1774	97
1775	93
1776	68
1777	77
1778	96
1779	94
1780	98
1781	76
1782	100
1783	79
1784	73
1785	105
1786	72
1787	99
1788	88
1789	85
1790	83
1791	135
1792	76
1793	111
1794	94
1795	87
1796	111
1797	69
1798	112
1799	78
1800	85
1801	91
1802	72
1803	84
1804	88
1805	88
1806	80
1807	75
1808	87
1809	96
1810	98
1811	101
1812	101
1813	70
1814	109
1815	72
1816	79
1817	97
1818	65
1819	101
1820	79
1821	97
1822	92
1823	84
1824	94
1825	98
1826	78
1827	94
1828	102
1829	63
1830	108
1831	88
1832	63
1833	88
1834	87
1835	88
1836	106
1837	68
1838	66
1839	58
1840	86
1841	82
1842	106
1843	92
1844	79
1845	70
1846	114
1847	78
1848	57
1849	83
1850	66
1851	91
1852	87
1853	71
1854	70
1855	83
1856	75
1857	80
1858	77
1859	73
1860	79
1861	61
1862	100
1863	72
1864	103
1865	100
1866	61
1867	79
1868	83
1869	71
1870	73
1871	73
1872	70
1873	81
1874	76
1875	83
1876	79
1877	58
1878	112
1879	61
1880	63
1881	75
1882	58
1883	83
1884	73
1885	80
1886	73
1887	63
1888	82
1889	81
1890	67
1891	72
1892	89
1893	61
1894	94
1895	73
1896	71
1897	81
1898	62
1899	67
1900	86
1901	54
1902	79
1903	56
1904	66
1905	68
1906	80
1907	87
1908	74
1909	68
1910	78
1911	73
1912	48
1913	70
1914	82
1915	94
1916	74
1917	58
1918	80
1919	89
1920	74
1921	82
1922	77
1923	75
1924	84
1925	64
1926	95
1927	55
1928	75
1929	83
1930	71
1931	80
1932	87
1933	75
1934	69
1935	46
1936	73
1937	62
1938	77
1939	88
1940	75
1941	70
1942	97
1943	47
1944	63
1945	78
1946	52
1947	81
1948	72
1949	74
1950	76
1951	75
1952	65
1953	66
1954	89
1955	75
1956	96
1957	53
1958	108
1959	61
1960	66
1961	81
1962	59
1963	74
1964	102
1965	80
1966	80
1967	45
1968	100
1969	74
1970	71
1971	85
1972	62
1973	62
1974	86
1975	69
1976	66
1977	81
1978	75
1979	97
1980	69
1981	78
1982	88
1983	72
1984	81
1985	70
1986	77
1987	84
1988	88
1989	53
1990	83
1991	46
1992	74
1993	87
1994	57
1995	69
1996	118
1997	66
1998	83
1999	62
2000	89
2001	63
2002	60
2003	84
2004	80
2005	45
2006	98
2007	51
2008	71
2009	69
2010	48
2011	70
2012	91
2013	80
2014	68
2015	64
2016	73
2017	67
2018	69
2019	61
2020	93
2021	68
2022	85
2023	43
2024	73
2025	77
2026	43
2027	70
2028	74
2029	66
2030	70
2031	66
2032	70
