Angle (deg)	Signal (V)	Error (V)
   0	0.1246	0.0004
  10	0.1278	0.0011
  20	0.1306	0.0012
  30	0.1271	0.0007
  40	0.1266	0.0011
  50	0.1207	0.0013
  60	0.1141	0.0010
  70	0.1091	0.0007
  80	0.1042	0.0005
  90	0.1011	0.0011
 100	0.0988	0.0009
 110	0.0991	0.0002
 120	0.0957	0.0012
 130	0.1038	0.0010
 140	0.1094	0.0006
 150	0.1147	0.0010
 160	0.1209	0.0013
 170	0.1246	0.0007
 180	0.1283	0.0013
 190	0.1298	0.0005
 200	0.1301	0.0009
 210	0.1297	0.0001
 220	0.1267	0.0010
 230	0.1221	0.0002
 240	0.1172	0.0008
 250	0.1118	0.0004
 260	0.1039	0.0009
 270	0.1017	0.0004
 280	0.1003	0.0013
 290	0.0994	0.0008
 300	0.1017	0.0004
 310	0.1052	0.0012
 320	0.1116	0.0008
 330	0.1167	0.0008
 340	0.1169	0.0005
 350	0.1195	0.0004
 360	0.1240	0.0011
