Angle (deg)	Signal (V)	Error (V)
   0	0.0907	0.0012
  10	0.0985	0.0011
  20	0.1037	0.0011
  30	0.1043	0.0004
  40	0.1029	0.0013
  50	0.0969	0.0008
  60	0.0890	0.0001
  70	0.0807	0.0011
  80	0.0711	0.0002
  90	0.0635	0.0005
 100	0.0583	0.0006
 110	0.0552	0.0011
 120	0.0502	0.0010
 130	0.0558	0.0003
 140	0.0610	0.0003
 150	0.0690	0.0009
 160	0.0788	0.0001
 170	0.0865	0.0007
 180	0.0929	0.0013
 190	0.0996	0.0010
 200	0.1028	0.0013
 210	0.1022	0.0010
 220	0.1017	0.0003
 230	0.0969	0.0008
 240	0.0901	0.0013
 250	0.0813	0.0002
 260	0.0711	0.0001
 270	0.0646	0.0013
 280	0.0585	0.0005
 290	0.0558	0.0005
 300	0.0558	0.0004
 310	0.0560	0.0005
 320	0.0609	0.0001
 330	0.0683	0.0008
 340	0.0762	0.0003
 350	0.0814	0.0003
 360	0.0905	0.0013
