1_x	1_y
2.021638	1.612778
2.785922	3.905535
4.569251	2.377030
6.097819	3.396033
6.862103	3.396033
9.919239	3.650784
10.174000	4.415036
13.231136	3.905535
12.721613	5.943541
15.269226	5.943541
16.797794	8.236298
18.326362	8.745799
19.854930	11.038556
21.638259	12.057559
22.912065	14.095565
24.695395	16.388322
25.714440	18.426328
26.733485	20.464334
29.535859	22.502340
29.790621	24.540346
32.592995	25.814100
32.847756	27.087854
35.140608	27.597355
36.159653	29.635361
39.216789	29.125860
39.726312	30.654364
41.254880	30.654364
42.528686	31.928118
44.312015	31.163866
45.840583	31.673367
47.114390	32.182869
48.897719	33.201872
49.916764	33.711374
52.719138	34.730377
52.719138	36.258881
55.776274	36.513632
56.285797	40.080143
57.814365	40.080143
58.833410	42.372899
60.871500	43.901404
62.400068	45.429908
63.673875	46.703662
66.221488	48.486918
66.731010	50.270173
68.769101	51.289176
69.278623	54.600936
72.080998	54.346185
73.100043	56.638942
74.119088	56.638942
75.902417	58.931699
77.430985	58.422197
78.450030	59.950702
80.488121	60.714954
82.780973	61.479206
83.035734	62.243459
85.583347	63.007711
85.838108	65.300468
88.640483	66.064720
89.150005	68.357477
90.423812	69.121729
92.461902	71.414486
93.990470	72.433489
95.009515	75.235747
97.047606	76.254750
98.321412	77.528504
99.340458	79.311759
102.142832	80.840264
102.907116	82.878270
104.690445	84.406775
105.454729	85.935279
108.511865	87.209033
108.257103	88.228036
110.549955	89.247039
111.569000	91.285045
113.352330	91.539796
114.880897	94.596805
116.409465	94.851556
117.938033	97.399063
119.211840	98.672817
121.759453	100.201322
122.014214	101.475076
124.816588	103.767832
124.816588	105.805838
127.364201	106.060589
128.638008	109.372349
130.166576	108.862848
130.930860	112.174607
132.968950	113.193610
135.261802	114.467364
136.026086	115.995869
137.554654	117.014872
138.318938	118.543376
141.121312	119.562379
141.376073	121.345635
144.178448	122.364638
144.178448	124.657395
147.235583	125.166896
147.745106	127.714404
149.528435	127.459653
151.057003	130.516662
152.840332	130.516662
153.859377	133.064170
155.387945	134.847425
157.426036	136.121179
158.190320	137.140182
160.992694	138.413936
160.992694	141.216194
164.049830	141.216194
165.068875	143.763702
165.833159	144.527954
167.616488	145.801708
169.145056	147.330212
170.673624	148.858717
172.202192	149.368218
173.985521	151.660975
174.749805	153.189480
177.297418	154.972735
177.552179	157.265492
180.609315	157.265492
180.099792	159.812999
182.647405	159.812999
184.175973	162.360507
185.449779	162.360507
186.978347	164.653264
188.506915	165.927018
190.545006	167.710273
191.054528	168.729276
193.856903	169.748279
193.856903	171.276784
196.914038	173.060039
194.111664	174.079042
192.837857	170.767282
190.290244	170.512531
189.780722	167.200771
187.233109	166.436519
185.449779	163.634261
183.411689	163.634261
181.883121	160.577252
180.354553	159.303498
177.552179	157.265492
176.787895	155.482237
173.985521	154.463233
173.221237	151.406224
170.164101	151.660975
169.909340	148.603966
167.616488	148.349215
165.833159	145.037455
164.049830	144.527954
162.011739	142.489948
160.483171	140.706692
158.699842	138.668686
157.680797	137.394933
155.642707	135.866428
154.368900	134.337923
151.311764	132.299917
150.802242	131.280914
147.999867	128.478656
147.745106	126.440650
144.687970	125.931148
143.414164	123.383641
141.630835	122.874139
140.102267	120.836133
138.573699	119.562379
135.771325	118.288626
135.516563	115.995869
132.714189	114.976866
132.459428	111.919857
128.638008	111.919857
129.147531	109.117598
126.090395	108.608097
124.816588	105.296337
123.288021	105.551088
122.014214	102.239328
120.485646	100.456073
118.447556	99.182319
117.683272	97.144313
114.626136	95.106307
114.116613	93.832553
111.823762	92.304048
110.804716	90.775544
108.002342	89.501790
107.492819	88.228036
104.180922	87.209033
104.180922	83.897273
101.123787	83.642522
