Vrms	EPerCycle	Hmax	Br	source
 2.583	 0.10728	 3278	0.5738	0044
 2.584	 0.10742	 3277	0.5730	0045
 2.584	 0.10749	 3277	0.5734	0046
 2.585	 0.10759	 3277	0.5736	0047
 3.744	 0.42364	 4692	1.5258	0050
 3.746	 0.42892	 4692	1.5383	0048
 3.747	 0.42483	 4693	1.5288	0049
 4.730	 0.89170	 5933	2.5443	0051
 4.733	 0.89244	 5939	2.5457	0053
 4.735	 0.89348	 5944	2.5488	0052
 5.712	 1.47932	 7210	3.5177	0015
 5.713	 1.47807	 7197	3.5144	0014
 5.747	 1.52967	 7260	3.6122	0054
 5.751	 1.52955	 7260	3.6097	0055
 5.753	 1.53039	 7260	3.6107	0056
 6.928	 2.30249	 8830	4.5871	0018
 6.929	 2.30618	 8857	4.5750	0016
 6.930	 2.30903	 8813	4.5887	0017
 7.203	 2.53386	 9218	4.8507	0059
 7.206	 2.53603	 9220	4.8562	0057
 7.208	 2.53732	 9221	4.8560	0058
 8.228	 3.27782	10565	5.5629	0020
 8.239	 3.29121	10552	5.5707	0019
 8.251	 3.29141	10570	5.5641	0021
 8.691	 3.66326	11240	5.9020	0060
 8.696	 3.66466	11247	5.9020	0061
 8.696	 3.66477	11250	5.9023	0062
 9.973	 4.58804	12826	6.5858	0024
 9.993	 4.59556	12874	6.5821	0023
 9.994	 4.59626	12866	6.5908	0022
10.308	 4.85938	13239	6.7840	0064
10.310	 4.85960	13249	6.7886	0065
10.310	 4.86388	13230	6.7867	0063
12.235	 6.19444	15606	7.5283	0027
12.238	 6.19199	15605	7.5175	0026
12.263	 6.19869	15645	7.5013	0025
14.245	 7.47504	18268	8.1307	0031
14.248	 7.48576	18258	8.1409	0028
14.260	 7.48633	18257	8.1331	0029
14.284	 7.51021	18315	8.1410	0030
16.905	 8.78261	23683	8.6048	0032
16.921	 8.79879	23760	8.6436	0034
16.942	 8.81178	23780	8.6405	0033
21.181	10.15464	33130	8.9938	0035
21.277	10.19677	33238	9.0020	0036
21.449	10.24033	33645	9.0069	0037
27.647	11.15569	47522	9.2534	0039
27.804	11.26919	47734	9.2688	0038
27.845	11.19081	48011	9.2774	0040
34.507	11.96209	61380	9.4316	0041
34.595	12.03369	61488	9.4208	0043
34.784	11.99294	61853	9.4285	0042
