Vrms	EPerCycle	Hmax	Br	source
 2.262	 0.06962	 2899	0.4376	0002*
 2.264	 0.06992	 2901	0.4393	0001*
 2.264	 0.06996	 2901	0.4398	0000*
 3.320	 0.29314	 4147	1.2111	0003*
 3.332	 0.29390	 4201	1.2105	0004*
 3.337	 0.29420	 4211	1.2099	0005*
 4.412	 0.75047	 5510	2.3098	0006*
 4.422	 0.75278	 5532	2.3121	0007*
 4.424	 0.75212	 5536	2.3092	0008*
 5.574	 1.45071	 7033	3.5360	0009*
 5.583	 1.45539	 7038	3.5405	0010*
 5.586	 1.45575	 7038	3.5407	0011*
 5.591	 1.45572	 7051	3.5393	0012*
 6.839	 2.33142	 8720	4.7129	0013*
 6.843	 2.33093	 8733	4.7097	0015*
 6.843	 2.33112	 8731	4.7101	0014*
 8.345	 3.49958	10720	5.8770	0016*
 8.352	 3.50452	10735	5.8819	0017*
 8.354	 3.50499	10743	5.8827	0018*
 9.499	 4.41040	12288	6.6083	0021*
 9.499	 4.41075	12287	6.6103	0020*
 9.504	 4.41621	12289	6.6141	0019*
11.413	 5.88715	14688	7.5601	0024*
11.419	 5.89225	14693	7.5649	0023*
11.427	 5.89423	14691	7.5654	0022*
13.513	 7.36495	17075	8.3169	0027*
13.522	 7.37384	17091	8.3192	0026*
13.563	 7.40295	17128	8.3328	0025*
16.933	 9.19005	23856	9.0036	0028*
16.938	 9.18851	23863	9.0040	0030*
16.938	 9.19336	23861	9.0031	0029*
21.029	10.58534	32814	9.3827	0032*
21.069	10.60219	32937	9.3821	0031*
21.079	10.59132	32981	9.3825	0033*
27.793	11.87367	47776	9.6516	0034*
27.793	11.88086	47794	9.6526	0035*
27.990	11.91196	48357	9.6565	0036*
34.630	12.79640	61741	9.8212	0038*
34.653	12.79191	61785	9.8167	0037*
34.769	12.81276	61942	9.8154	0039*
