Angle (deg)	Signal (V)	Error (V)
   0	0.1912	0.0005
   5	0.2024	0.0013
  10	0.1973	0.0013
  15	0.1994	0.0011
  20	0.1998	0.0013
  25	0.1936	0.0001
  30	0.1782	0.0006
  35	0.1657	0.0005
  40	0.1529	0.0002
  45	0.1353	0.0009
  50	0.1175	0.0009
  55	0.0995	0.0005
  60	0.0814	0.0005
  65	0.0639	0.0007
  70	0.0494	0.0012
  75	0.0338	0.0011
  80	0.0253	0.0008
  85	0.0153	0.0003
  90	0.0076	0.0005
  95	0.0026	0.0003
 100	0.0012	0.0013
 105	0.0026	0.0003
 110	0.0076	0.0003
 115	0.0152	0.0004
 120	0.0210	0.0011
 125	0.0382	0.0002
 130	0.0519	0.0012
 135	0.0708	0.0011
 140	0.0817	0.0007
 145	0.0996	0.0007
 150	0.1194	0.0009
 155	0.1376	0.0004
 160	0.1502	0.0006
 165	0.1652	0.0009
 170	0.1779	0.0010
 175	0.1846	0.0013
 180	0.1936	0.0002
