pos	count1	count2	count3
1.00	146	142	141
1.10	114	105	127
1.20	138	123	127
1.30	148	111	137
1.40	132	129	118
1.50	106	131	128
2.20	153	129	162
2.30	183	159	165
2.40	189	226	199
2.50	221	219	219
2.60	247	244	234
2.70	263	269	247
2.80	314	279	302
2.90	328	339	320
3.00	349	370	349
3.50	548	540	566
4.00	724	700	679
4.10	704	686	728
4.20	764	734	742
4.30	740	794	683
4.40	732	764	739
4.50	712	724	724
4.60	700	717	718
4.70	699	680	700
4.80	690	671	727
4.90	636	663	680
5.00	628	629	689
5.50	424	440	482
6.00	281	296	317
6.10	254	249	244
6.20	224	228	252
6.30	204	220	221
6.40	192	195	191
6.50	181	197	204
7.00	137	138	122
