NO polarizer: t (s)	NO polarizer: int (a.u.)	YES polarizer: t (s)	YES polarizer: int (a.u.)	
0.000000	1.185706	0.000000	1.201159
0.047034	1.189656	0.059044	1.201159
0.101072	1.189656	0.109079	1.216913
0.154110	1.191265	0.167117	1.216913
0.202144	1.191265	0.223157	1.216913
0.270191	1.191265	0.293207	1.217367
0.314226	1.194392	0.345243	1.217367
0.361256	1.194392	0.397280	1.212474
0.404286	1.186738	0.456322	1.212474
0.450318	1.186738	0.512362	1.194101
0.498354	1.186738	0.557393	1.194101
0.552391	1.175120	0.616435	1.194101
0.600428	1.175120	0.664470	1.202615
0.659468	1.175120	0.729515	1.202615
0.703500	1.183136	0.782553	1.217279
0.761539	1.183136	0.844596	1.217279
0.810574	1.185799	0.905640	1.217279
0.867613	1.185799	0.956676	1.201419
0.923653	1.185799	1.012715	1.201419
0.967685	1.189698	1.067758	1.202065
1.017720	1.189698	1.130799	1.202065
1.070756	1.172494	1.194843	1.202065
1.120792	1.172494	1.250884	1.210611
1.174831	1.172494	1.312927	1.210611
1.217861	1.182591	1.362963	1.197577
1.264895	1.182591	1.415999	1.197577
1.320937	1.182591	1.464034	1.214313
1.366966	1.177648	1.517071	1.214313
1.419003	1.177648	1.570109	1.200334
1.472040	1.168840	1.629167	1.200334
1.534084	1.168840	1.685194	1.200334
1.583118	1.168840	1.741247	1.202898
1.632154	1.182881	1.801274	1.202898
1.689197	1.182881	1.861314	1.209541
1.741233	1.182881	1.912354	1.209541
1.808277	1.182169	1.986403	1.209541
1.858313	1.182169	2.049448	1.215549
1.915354	1.190705	2.106503	1.215549
1.963387	1.190705	2.160544	1.212884
2.012422	1.179917	2.223573	1.212884
2.066461	1.179917	2.272605	1.212846
2.115495	1.179917	2.337651	1.212846
2.161528	1.177658	2.393691	1.226866
2.225575	1.177658	2.461739	1.226866
2.277613	1.183010	2.510776	1.226866
2.338656	1.183010	2.577821	1.198630
2.392693	1.183010	2.632859	1.198630
2.450732	1.177113	2.681894	1.215903
2.496780	1.177113	2.751944	1.215903
2.539794	1.175761	2.816008	1.216181
2.585827	1.175761	2.874032	1.216181
2.637866	1.175761	2.932071	1.219988
2.689902	1.174320	2.986111	1.219988
2.754950	1.174320	3.056161	1.219988
2.803985	1.179661	3.104195	1.184313
2.858019	1.179661	3.153231	1.184313
2.911057	1.179661	3.206268	1.204273
2.974101	1.177515	3.262304	1.204273
3.031141	1.177515	3.311339	1.212547
3.073171	1.188969	3.365377	1.212547
3.118203	1.188969	3.425422	1.212547
3.176244	1.188969	3.482462	1.213108
3.221276	1.185340	3.528492	1.213108
3.275315	1.185340	3.594542	1.211562
3.323348	1.198050	3.663588	1.211562
3.374386	1.198050	3.723634	1.211562
3.431424	1.198050	3.793680	1.201715
3.494469	1.199107	3.856725	1.201715
3.551509	1.199107	3.915766	1.213135
3.607552	1.199107	3.976810	1.213135
3.665594	1.191477	4.040854	1.208737
3.729638	1.191477	4.087887	1.208737
3.778670	1.179715	4.134922	1.210243
3.830706	1.179715	4.197966	1.210243
3.892766	1.186833	4.248000	1.203293
3.944790	1.186833	4.299037	1.203293
3.999829	1.186833	4.361084	1.203293
4.062873	1.175879	4.418138	1.208642
4.116909	1.175879	4.482168	1.208642
4.164943	1.190751	4.538208	1.211600
4.218984	1.190751	4.593244	1.211600
4.265013	1.182860	4.645281	1.204061
4.313047	1.182860	4.711348	1.204061
4.364084	1.182860	4.769371	1.204061
4.423125	1.196725	4.815403	1.201243
4.473160	1.196725	4.893456	1.201243
4.526197	1.184557	4.946511	1.199696
4.570230	1.184557	5.014542	1.199696
4.620265	1.184557	5.066578	1.209461
4.671303	1.181737	5.137629	1.209461
4.726339	1.181737	5.194669	1.203607
