1_x	1_y
1.430828	13.331313
1.430828	13.076562
2.449879	12.821811
3.214166	12.821811
3.978454	12.057559
4.997504	13.331313
4.997504	11.802808
6.780842	12.821811
6.780842	12.312310
8.564180	12.312310
8.309417	12.821811
10.602280	12.312310
10.092755	12.057559
11.366568	12.057559
12.130856	11.802808
13.149906	11.038556
14.423719	12.312310
14.168956	10.529054
16.207056	11.802808
16.461819	10.529054
18.245157	10.783805
17.735632	10.019553
19.773732	10.783805
19.264207	11.802808
20.538020	9.510051
21.557070	11.293307
22.321358	9.000550
23.085645	10.019553
23.849933	9.000550
25.378508	9.255301
25.123746	9.000550
27.161846	8.491048
26.397559	8.745799
28.690422	8.236298
28.180896	9.510051
29.709472	6.962544
30.473759	8.491048
31.238047	7.217295
32.257097	8.236298
33.021385	6.707793
34.549960	7.981547
33.785673	6.453042
35.569011	7.217295
35.569011	7.217295
37.607111	7.217295
37.097586	7.981547
38.626161	6.453042
39.645211	7.472045
39.645211	5.943541
41.683312	6.962544
41.173787	5.688790
43.721412	7.472045
42.957125	6.707793
44.485700	6.453042
45.504750	6.707793
46.269038	6.707793
46.778563	6.962544
47.288088	5.688790
48.561901	7.726796
48.561901	5.943541
50.854764	6.962544
50.345239	6.198292
52.128576	6.707793
51.619051	6.707793
53.402389	6.962544
54.421439	7.217295
54.930965	7.472045
55.950015	7.981547
55.950015	7.217295
57.988115	8.491048
57.478590	6.962544
59.771453	7.726796
59.261928	7.726796
61.554791	8.236298
61.045266	8.236298
63.083366	7.472045
63.083366	9.255301
64.102416	8.236298
64.866704	8.745799
65.630992	8.236298
66.650042	9.000550
66.650042	9.255301
69.197668	9.000550
69.197668	9.510051
70.471480	9.764802
69.707193	10.783805
71.235768	9.255301
72.254818	11.038556
73.273868	9.764802
74.292919	11.293307
74.802444	10.274304
76.331019	11.293307
75.821494	10.529054
77.859594	11.293307
77.859594	11.038556
79.388170	11.293307
79.642932	12.057559
80.407220	11.038556
81.426270	12.312310
82.190558	11.293307
82.954845	12.567061
82.954845	12.057559
85.502471	12.057559
84.483421	13.076562
86.266759	12.821811
87.031046	13.076562
87.795334	12.567061
88.559622	12.312310
89.578672	12.057559
90.597722	13.586064
91.107247	12.821811
92.635822	13.331313
92.126297	13.586064
92.890585	13.331313
90.342959	13.076562
90.852485	12.821811
89.578672	13.586064
88.304859	12.057559
87.285809	13.076562
86.266759	12.057559
85.247708	13.586064
83.464370	12.821811
83.973896	12.057559
81.681033	12.312310
82.190558	12.057559
79.897695	11.802808
79.388170	11.548058
78.369119	12.057559
77.604832	10.529054
76.585782	11.802808
75.566731	11.038556
74.547681	10.783805
73.273868	10.529054
73.528631	10.529054
71.235768	10.019553
71.490530	10.019553
69.197668	10.783805
69.197668	9.255301
67.923855	10.274304
67.159567	8.491048
66.140517	10.274304
65.121467	9.000550
65.121467	9.764802
62.828604	8.236298
63.338129	8.491048
61.809553	8.491048
60.790503	7.981547
59.771453	7.981547
58.752403	8.236298
57.988115	7.981547
56.969065	6.962544
56.969065	7.981547
54.676202	6.707793
54.930965	7.981547
53.402389	7.217295
53.147627	7.217295
50.854764	7.726796
51.109526	6.453042
49.580951	7.981547
49.326188	6.198292
48.052376	7.217295
47.288088	5.943541
46.269038	7.981547
44.485700	6.707793
45.249988	6.453042
42.702362	6.707793
43.211887	6.453042
40.919024	7.217295
40.919024	6.198292
40.154736	7.217295
39.135686	6.707793
38.116636	6.962544
36.588061	6.453042
37.097586	7.726796
35.059485	6.707793
34.549960	7.217295
33.530910	6.962544
33.276148	7.472045
32.257097	7.472045
31.238047	7.726796
30.473759	8.745799
28.690422	7.472045
29.454709	9.000550
26.907084	8.236298
27.416609	9.000550
25.378508	8.491048
25.378508	8.745799
24.359458	9.000550
23.340408	9.255301
22.321358	9.255301
21.557070	9.000550
20.538020	10.274304
20.028495	10.019553
19.009445	10.274304
17.735632	10.274304
17.990394	10.783805
15.697531	10.783805
15.442769	11.293307
14.678481	11.293307
13.659431	11.548058
12.895143	12.057559
11.366568	10.783805
12.130856	12.312310
9.583230	11.038556
10.092755	13.076562
8.054655	12.057559
7.545130	12.312310
6.271317	12.567061
6.526079	11.548058
4.997504	13.331313
4.233216	12.057559
3.468929	13.586064
2.704641	12.312310
1.940354	12.567061
0.411778	12.821811
0.921303	12.821811
-1.371560	12.567061
-1.116797	13.076562
-3.154898	12.821811
-3.409660	12.567061
-4.173948	13.840814
-4.938235	11.802808
-5.702523	13.586064
-6.721573	12.567061
-7.485861	12.821811
-9.014436	12.567061
-8.759674	12.057559
-10.797774	12.312310
-10.543012	12.567061
-12.581112	12.567061
-12.581112	11.802808
-13.600162	12.567061
-14.364450	11.548058
-14.619212	12.567061
-16.657313	11.038556
-16.402550	12.057559
-18.695413	11.548058
-18.440651	11.293307
-19.459701	11.038556
-20.223989	11.293307
-21.243039	11.548058
-22.262089	9.510051
-22.516852	11.802808
-24.045427	10.019553
-23.790664	10.783805
-26.083527	9.255301
-25.574002	9.764802
-27.866865	9.764802
-28.121628	9.764802
-28.885915	9.255301
-29.650203	9.000550
-30.669253	9.764802
-31.178778	8.491048
-31.688303	9.255301
-33.726404	7.981547
-33.216879	9.255301
-34.745454	8.236298
-35.509742	8.491048
-36.274029	7.981547
-36.783555	7.981547
-38.312130	8.236298
-39.076418	6.707793
-39.840705	8.491048
-40.859755	6.707793
-41.624043	6.962544
-42.897856	6.962544
-42.897856	7.217295
-44.681194	7.472045
-44.426431	6.707793
-45.955006	6.707793
-46.719294	6.453042
-47.483582	7.217295
-48.757395	5.179289
-48.502632	6.453042
