B	DB	order	rpix	Drpix
0	0	1	184.25377163914595	0.20166824913026832
0	0	2	275.6206366519299	0.12900755507349684
0	0	3	343.7842732198504	0.1172075474048918
0	0	4	398.8064907898972	0.19135773768136857
200	10	1	169.0208247888202	0.19932248206832073
200	10	1	190.34220606888525	0.15601141213078568
200	10	2	266.30750843372	0.09970207310120593
200	10	2	280.64206249311565	0.07842574803235117
200	10	3	336.1335565244999	0.1388043993853589
200	10	3	348.2991413885609	0.06114877951492512
200	10	4	391.5074898031266	0.24378159648799527
200	10	4	404.44134136942125	0.08403937760152667
250	10	1	170.0031131741716	0.2050186096981617
250	10	1	194.66065142513344	0.23826154494009832
250	10	2	266.3592078812141	0.17910181582931364
250	10	2	283.416348604332	0.0785952960675914
250	10	3	337.1598191286415	0.08956278913666975
250	10	3	350.5624465550386	0.06228395871701205
250	10	4	393.48062086349614	0.20182480020367177
250	10	4	406.7753901618118	0.11199328336335389
320	10	1	162.6932053395548	0.21949119897976688
320	10	1	194.87092629948725	0.1510540922262589
320	10	2	262.4748666126401	0.09203205478444548
320	10	2	283.63122597399325	0.08050284843850761
320	10	3	333.65263042389125	0.08329892602587735
320	10	3	350.67484040888365	0.06397183819518268
320	10	4	391.7184114078521	0.10999773892427926
320	10	4	406.9764198512517	0.1080015624048126
375	10	1	163.08707780683343	0.27410073907789023
375	10	1	199.91470110089884	0.1451937639754944
375	10	2	262.87931926513846	0.09375372076953309
375	10	2	287.1317640397888	0.08066495175896518
375	10	3	334.0111371708374	0.07315835794297955
375	10	3	353.52326958257794	0.06594201086569777
375	10	4	391.781337653141	0.13064757892751383
375	10	4	408.9255522950631	0.09003207100796078
410	10	1	156.97622005936296	0.2319342380719483
410	10	1	198.52244893215155	0.15067161357039216
410	10	2	258.9916302931944	0.0918293503213799
410	10	2	286.05564712364	0.08482552778097603
410	10	3	330.8011825263714	0.08299039118748963
410	10	3	352.7864370746866	0.07045831977491286
410	10	4	389.3563055955991	0.10814403437305099
410	10	4	408.0911058821949	0.12034928349303671
475	10	1	157.22943903091206	0.2359279997376448
475	10	1	204.19709277859295	0.14273960750727413
475	10	2	259.16414406321275	0.09180971578626161
475	10	2	289.9583081320764	0.08835904730837325
475	10	3	331.02581803470486	0.0743614705470824
475	10	3	355.9510628756831	0.06629264933803312
475	10	4	389.4733814122599	0.10503774507317311
475	10	4	411.0204322655563	0.09015344754261984
